name,url,state,court_type,category,notes
Magistrate Judge Allison H. Goddard - Case Management Statement Rules,https://www.casd.uscourts.gov/Judges/goddard/docs/Goddard%20Joint%20Case%20Management%20Statement%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Allison H. Goddard - Mandatory Settlement Conference Rules,https://www.casd.uscourts.gov/Judges/goddard/docs/Goddard%20Mandatory%20Settlement%20Conference%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge David D. Leshner - Mandatory Settlement Conference Rules,https://www.casd.uscourts.gov/Judges/leshner/docs/Mandatory%20Settlement%20Conference%20Procedures.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Michelle M. Pettit - Model Protective Order,https://www.casd.uscourts.gov/Judges/pettit/docs/Pettit%20Model%20Protective%20Order.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge David D. Leshner - Rule 26(f) Conference Checklist,https://www.casd.uscourts.gov/Judges/leshner/docs/Rule%2026(f)%20Conference%20Checklist.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Michael S. Berg - Civil Chambers Rules,https://www.casd.uscourts.gov/judges/chambers-rules.aspx,CA,federal,all,Group: CA USDC - Southern District Judges
District Judge Hernan D. Vera - Procedures,https://www.cacd.uscourts.gov/honorable-hern%C3%A1n-d-vera,CA,federal,all,Group: CA USDC - Central District Judges
District Judge Otis D. Wright II - Procedures,https://www.cacd.uscourts.gov/honorable-otis-d-wright-ii,CA,federal,all,Group: CA USDC - Central District Judges
Judges of the Central District of California,https://apps.cacd.uscourts.gov/Jps/,CA,federal,all,Group: CA USDC - Central District Judges
Holiday Schedule,https://www.courts.ca.gov/holidays.htm,CA,state,all,Group: CA State
California Rules of Court,https://www.courts.ca.gov/rules.htm,CA,state,all,Group: CA State
New and Amended Rules - CRC,https://www.courts.ca.gov/3025.htm,CA,state,all,Group: CA State
Judicial Council Forms - Amendments,https://www.courts.ca.gov/3020.htm,CA,state,all,Group: CA State
California Judicial Branch,https://www.courts.ca.gov/,CA,state,all,Group: CA State
Division of Human Rights - Legal Notices,https://dhr.ny.gov/legal-notices,NY,state,all,Group: NY State
Eastern District - Local Rules,https://www.caed.uscourts.gov/caednew/index.cfm/rules/local-rules/,CA,federal,all,Group: CA USDC
Eastern District - Holiday Schedule,https://www.caed.uscourts.gov/caednew/index.cfm/clerks-office/court-holidays/?keywords=holidays&tag=&searchSectionID=,CA,federal,all,Group: CA USDC
Eastern District - Home Page (News),https://www.caed.uscourts.gov/caednew/,CA,federal,all,Group: CA USDC
Southern District - Holiday Schedule,https://www.casd.uscourts.gov/clerksoffice/Court-Holiday-Schedule.aspx,CA,federal,all,Group: CA USDC
Southern District - Home Page (News),https://www.casd.uscourts.gov/,CA,federal,all,Group: CA USDC
Southern District - Local Rules,https://www.casd.uscourts.gov/rules/local-rules.aspx,CA,federal,all,Group: CA USDC
Southern District - General Orders,https://www.casd.uscourts.gov/rules/general-orders.aspx,CA,federal,all,Group: CA USDC
Central District - Home Page (News),https://www.cacd.uscourts.gov/,CA,federal,all,Group: CA USDC
Central District - Local Rules,https://www.cacd.uscourts.gov/court-procedures/local-rules,CA,federal,all,Group: CA USDC
